player_id,player_name,team_abbreviation,team_short_name,team_name,position,minutes_played,goals_added_raw_dribbling,goals_added_raw_fouling,goals_added_raw_interrupting,goals_added_raw_passing,goals_added_raw_receiving,goals_added_raw_shooting,goals_added_above_avg_dribbling,goals_added_above_avg_fouling,goals_added_above_avg_interrupting,goals_added_above_avg_passing,goals_added_above_avg_receiving,goals_added_above_avg_shooting,season_name,base_salary,guaranteed_compensation,mlspa_release,birth_date,nationality,height_ft,height_in,weight_lb
0x5g2KPRM7,Matt Real,PHI,Philadelphia,Philadelphia Union,FB,583,-0.0048,-0.0493,0.6014,0.1336,0.2747,0.0524,-0.0396,-0.0343,0.2414,-0.0614,0.0386,-0.0589,2023,140000,149833,2023-09-15,1999-07-10,USA,6,0,161
0x5g2lywM7,Jake Nerwinski,STL,St. Louis,St. Louis City SC,FB,2528,-0.3253,-0.1791,0.9993,1.4217,0.0868,0.0894,-0.5246,-0.0601,-0.6001,0.3912,-0.4869,-0.2162,2023,250000,277500,2023-09-15,1994-10-17,USA,NA,NA,NA
0x5g2pW7M7,Shaq Moore,NSH,Nashville,Nashville SC,FB,3257,-0.1820,-0.0312,2.6243,0.5013,0.5266,0.1796,-0.4387,0.1222,0.5637,-0.8265,-0.2125,-0.2141,2023,725000,806500,2023-09-15,1996-11-02,USA,5,10,161
0x5g2XBjM7,Jaylin Lindsey,CLT,Charlotte,Charlotte FC,FB,1472,0.0186,-0.2966,0.7246,1.1957,0.4945,0.1646,-0.1051,-0.2374,-0.1959,0.6232,0.1022,-0.0409,2023,250000,286250,2023-09-15,2000-03-27,USA,5,9,157
0x5g2xoXM7,Raheem Edwards,LAG,LA Galaxy,LA Galaxy,FB,2064,0.8292,0.1145,1.5741,-0.2077,0.5776,0.4251,0.6440,0.1819,0.3002,-0.9679,-0.0623,0.0946,2023,315000,347500,2023-09-15,1995-07-17,Canada,5,8,150
0x5gLm2bq7,Jackson Hopkins,DCU,D.C. United,D.C. United,CM,230,-0.0120,0.0001,0.0664,0.0493,0.0186,0.0525,-0.0401,-0.0097,-0.0701,-0.0058,-0.1421,-0.0327,2023,85444,85730,2023-09-15,2004-07-01,USA,NA,NA,NA
0x5gNXPM7O,Martín Cáceres,LAG,LA Galaxy,LA Galaxy,CB,1450,-0.3353,-0.3130,-0.1772,0.6998,0.2252,0.1911,-0.3636,-0.1621,-1.2993,-0.0921,-0.0952,0.0289,2023,500004,556671,2023-09-15,1987-04-07,Uruguay,5,11,172
0x5gP3gXq7,Matt Miazga,CIN,Cincinnati,FC Cincinnati,CB,2887,0.3247,-0.4091,2.0394,2.7216,0.9104,0.3730,0.2683,-0.1087,-0.1948,1.1450,0.2725,0.0501,2023,1500000,1500000,2023-09-15,1995-07-19,USA,6,3,185
0x5gPGKPq7,Remi Walter,SKC,Kansas City,Sporting Kansas City,CM,3394,0.3915,0.2656,2.1690,0.4190,0.9294,0.5407,0.0671,0.3218,-0.2542,-0.8493,-0.3876,-0.2597,2023,850000,850000,2023-09-15,1995-04-26,France,5,9,154
0x5gPvZRq7,Eriq Zavaleta,LAG,LA Galaxy,LA Galaxy,CB,571,0.3807,-0.0120,0.1186,0.1678,0.1470,0.1456,0.3634,0.0415,-0.3086,-0.1297,0.0202,0.0807,2023,85444,85444,2023-09-15,1992-08-02,USA,6,1,183
0x5gvyXM7O,Jonathan Mensah,SJE,San Jose,San Jose Earthquakes,CB,2306,-0.1031,-0.3329,1.4804,1.1411,0.3785,0.3678,-0.1682,-0.1188,-0.2712,-0.0538,-0.2218,0.0626,2023,1025000,1165667,2023-09-15,1990-07-13,Ghana,6,2,183
0x5gXlrq7O,Roger Espinoza,SKC,Kansas City,Sporting Kansas City,CM,884,0.1569,-0.0295,0.5416,0.5410,0.2310,0.2130,0.0834,-0.0257,-0.0502,0.2612,-0.1960,-0.0196,2023,85444,85444,2023-09-15,1986-10-25,Honduras,5,11,161
0x5gZDPM7O,Kei Kamara,CHI,Chicago,Chicago Fire FC,ST,1695,-0.2834,0.0263,0.5023,-1.0611,3.8673,1.1318,0.0105,-0.2090,-0.0745,-0.4504,0.3704,-0.1156,2023,200000,210000,2023-09-15,1984-09-01,Sierra Leone,6,3,187
2lqR7wZaQr,Maximilian Arfsten,CLB,Columbus,Columbus Crew,FB,348,0.1964,0.0409,0.0605,-0.0869,0.3349,0.2041,0.1640,0.0475,-0.1592,-0.2047,0.1940,0.1298,2023,67360,69205,2023-09-15,2001-04-19,USA,6,1,172
2lqRjDAAqr,Ian Fray,MIA,Miami,Inter Miami CF,CB,731,0.2376,0.0023,-0.3471,0.5266,0.0739,0.1730,0.1966,0.0557,-0.8968,0.1674,-0.1146,0.0661,2023,110000,110000,2023-09-15,2002-08-31,USA,6,0,161
2lqRjjpDqr,Ethan Dobbelaere,SEA,Seattle,Seattle Sounders FC,W,101,-0.1168,0.0182,-0.0029,-0.0816,0.0968,0.0095,-0.1321,0.0132,-0.0564,-0.0963,0.0180,-0.0291,2023,104000,118000,2023-09-15,2002-11-14,USA,5,9,141
2lqRjkEJqr,Logan Ndenbe,SKC,Kansas City,Sporting Kansas City,FB,1999,0.9410,-0.2400,1.4642,0.2501,0.3545,0.2889,0.7744,-0.1579,0.2124,-0.5321,-0.1683,0.0145,2023,350000,396125,2023-09-15,2000-02-09,Belgium,5,9,161
2lqRk034Qr,Keegan Hughes,CLB,Columbus,Columbus Crew,CB,4,0.0000,0.0002,0.0000,0.0046,0.0000,0.0000,-0.0001,0.0006,-0.0031,0.0024,-0.0009,-0.0004,2023,85444,85444,2023-09-15,2000-07-22,USA,NA,NA,NA
2lqRk1raQr,Kamal Miller,MIA,Miami,Inter Miami CF,CB,2562,0.2213,-0.0330,2.7986,1.8733,0.0479,0.0072,0.1659,0.2284,0.8288,0.4869,-0.5188,-0.2802,2023,375000,420000,2023-09-15,1997-05-16,Canada,6,0,NA
2lqRk3lnQr,Keaton Parks,NYC,New York City,New York City FC,CM,2793,0.4268,-0.1321,1.5853,1.2952,1.8301,0.9363,0.1500,-0.0860,-0.4107,0.2148,0.7397,0.2751,2023,550000,550000,2023-09-15,1997-08-06,USA,6,4,165
